temperatura_real,temperatura_predicha
8.0,7.986442635865657
9.0,8.9722883846864
12.0,11.968293061799407
14.0,13.993712386153575
15.0,14.94657011938749
15.0,14.9472918564458
17.0,17.035725659842125
17.0,16.96770100214593
17.0,17.01619080809359
18.0,18.03248289135262
17.0,16.996239515722753
17.0,17.014133943084605
17.0,17.015655343745568
16.0,16.00726957988652
14.0,14.008551332398257
14.0,13.99721277394492
13.0,13.00412550997051
12.0,12.009939611643624
11.0,10.963476362474086
10.0,10.004332669957938
10.0,10.006978044943075
11.0,11.006251560345502
10.0,10.023207354628939
11.0,10.986500350964745
11.0,11.021803180556219
12.0,12.038302177605237
13.0,12.993910771681241
14.0,14.044825430770537
15.0,14.94647609144302
15.0,14.948392763463774
16.0,16.011668906736258
16.0,15.983250124838499
16.0,16.000700473781677
16.0,16.00128210886993
16.0,16.000373413966653
16.0,16.00079527854481
14.0,14.00180814015286
14.0,13.99721277394492
14.0,14.001627312364676
14.0,14.001876896437025
14.0,14.001876896437025
14.0,14.002412372991168
13.0,13.00412550997051
13.0,13.010398079223998
13.0,13.017750393822146
12.0,12.015884582434587
12.0,12.013713614687685
12.0,12.014941490861398
12.0,12.015606828510927
13.0,12.99514177998997
15.0,15.022843361217772
16.0,16.012417015164385
17.0,16.99199329461652
18.0,18.054344552744574
19.0,18.99910845565288
18.0,18.004279993584916
18.0,18.001397961914357
19.0,18.979483872956056
19.0,19.04004368091303
19.0,18.990868697363247
15.0,14.958962504981852
15.0,14.975371322447556
15.0,15.003636545061404
14.0,13.986592848798443
14.0,14.003342422763287
14.0,13.999988928911481
13.0,13.001364657566402
13.0,13.0080125763387
12.0,12.013078798219485
13.0,12.971368306490678
12.0,12.029784038101383
12.0,12.01304661454623
11.0,10.95878990168608
12.0,12.021795272111786
13.0,12.985633130913463
14.0,14.038946660842628
15.0,14.944150975898363
16.0,16.007451700607866
17.0,16.986031205842963
18.0,18.053951406892427
19.0,18.99987730512872
19.0,19.039391316329766
18.0,18.008388294432574
17.0,16.98760636073376
16.0,16.00000262519359
14.0,14.008551332398257
13.0,13.00604781400065
12.0,12.009939611643624
12.0,12.013713614687685
12.0,12.014941490861398
12.0,12.015606828510927
11.0,10.96353701013368
11.0,11.020374085607278
11.0,10.9955830665631
10.0,10.013440322611114
8.0,8.00841718744266
9.0,8.955383905068729
10.0,9.992578014255173
12.0,12.01866250780506
14.0,13.994357043286454
16.0,15.995406002479047
18.0,17.989550692477618
19.0,19.000347674050268
19.0,19.038896274393217
